t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789944275.265,0,wait_data,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4834,-1.9724,-0.0000,0.0005
1789944275.399,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.4834,-1.9725,0.0000,0.0005
1789944275.505,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4834,-1.9725,-0.0001,0.0004
1789944275.625,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4833,-1.9725,0.0000,0.0005
1789944275.746,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4833,-1.9724,0.0000,0.0006
1789944275.860,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4835,-1.9725,-0.0001,0.0004
1789944275.964,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4835,-1.9724,-0.0000,0.0003
1789944276.065,0,move,0.2288,-0.5400,0.7200,0.0004,-0.0023,0.0001,1.4835,-1.9725,-0.0001,0.0003
1789944276.185,0,move,0.1786,-0.5400,0.7200,0.0008,-0.0007,0.0126,1.4705,-1.9554,-0.0001,0.0001
1789944276.289,0,move,0.1110,-0.5400,0.7200,0.0013,-0.0002,0.0296,1.4438,-1.9203,-0.0002,0.0000
1789944276.405,0,move,0.0643,-0.5400,0.7200,0.0009,0.0001,0.0412,1.3924,-1.8496,-0.0001,-0.0000
1789944276.525,0,move,0.0371,-0.5400,0.7200,0.0007,0.0008,0.0480,1.3253,-1.7621,-0.0001,-0.0001
1789944276.625,0,move,0.0230,-0.5400,0.7200,-0.0008,0.0013,0.0515,1.2709,-1.6900,0.0001,-0.0002
1789944276.728,0,move,0.0140,-0.5400,0.7200,-0.0008,0.0009,0.0538,1.2152,-1.6197,0.0001,-0.0001
1789944276.845,0,move,0.0092,-0.5400,0.7200,-0.0002,0.0006,0.0550,1.1618,-1.5496,0.0000,-0.0001
1789944276.967,0,move,0.0057,-0.5400,0.7200,-0.0007,0.0001,0.0559,1.1084,-1.4769,0.0001,-0.0000
1789944277.088,0,move,0.0030,-0.5400,0.7200,-0.0005,-0.0017,0.0566,1.0342,-1.3774,0.0001,0.0002
1789944277.205,0,move,0.0020,-0.5400,0.7200,-0.0013,-0.0008,0.0568,0.9806,-1.3042,0.0002,0.0001
1789944277.307,0,move,0.0013,-0.5400,0.7200,-0.0021,-0.0008,0.0570,0.9266,-1.2319,0.0003,0.0001
1789944277.426,0,move,0.0008,-0.5400,0.7200,-0.0008,-0.0001,0.0571,0.8602,-1.1464,0.0001,0.0000
1789944277.545,0,move,0.0012,-0.5400,0.7200,-0.0005,0.0002,0.0570,0.7957,-1.0610,0.0001,-0.0000
1789944277.645,0,move,0.0005,-0.5400,0.7200,0.0001,-0.0001,0.0572,0.7424,-0.9919,-0.0000,0.0000
1789944277.745,0,move,0.0002,-0.5400,0.7200,-0.0006,-0.0006,0.0572,0.6882,-0.9180,0.0001,0.0001
1789944277.847,0,move,-0.0004,-0.5400,0.7200,-0.0005,0.0000,0.0574,0.6345,-0.8471,0.0001,-0.0000
1789944277.965,0,move,-0.0009,-0.5400,0.7200,-0.0004,-0.0008,0.0575,0.5817,-0.7745,0.0000,0.0001
1789944278.085,0,move,-0.0005,-0.5341,0.5776,0.0008,0.0002,0.0574,0.5082,-0.6764,-0.0001,-0.0000
1789944278.185,0,move,-0.0001,-0.4586,0.4531,-0.0004,-0.0002,0.0573,0.4572,-0.6194,0.0000,0.0000
1789944278.286,0,move,0.0005,-0.3951,0.3023,-0.0005,-0.0002,0.0572,0.4204,-0.5817,0.0001,0.0000
1789944278.406,0,move,0.0003,-0.2519,0.1675,-0.0004,0.0004,0.0572,0.3771,-0.5480,0.0001,-0.0000
1789944278.526,0,move,0.0005,-0.1412,0.0946,0.0011,0.0005,0.0572,0.3495,-0.5298,-0.0001,-0.0001
1789944278.627,0,move,0.0002,-0.0974,0.0667,0.0002,0.0007,0.0572,0.3385,-0.5228,-0.0000,-0.0001
1789944278.751,0,move,-0.0001,-0.0557,0.0385,-0.0007,0.0003,0.0573,0.3281,-0.5158,0.0001,-0.0000
1789944278.865,0,move,-0.0009,-0.0317,0.0218,0.0000,-0.0006,0.0575,0.3221,-0.5116,-0.0000,0.0001
1789944278.969,0,move,-0.0013,-0.0214,0.0149,-0.0010,0.0001,0.0576,0.3195,-0.5099,0.0001,-0.0000
1789944279.095,0,move,-0.0008,-0.0113,0.0082,0.0003,0.0004,0.0575,0.3170,-0.5082,-0.0000,-0.0000
1789944279.205,0,move,0.0002,-0.0069,0.0048,0.0003,-0.0001,0.0572,0.3159,-0.5073,-0.0000,0.0000
1789944279.305,0,move,-0.0001,-0.0052,0.0027,0.0009,-0.0004,0.0573,0.3154,-0.5068,-0.0001,0.0001
1789944279.429,0,verify,-0.0003,-0.0029,0.0015,-0.0002,-0.0004,0.0574,0.3149,-0.5065,0.0000,0.0001
1789944279.545,0,finish,0.0000,0.0000,0.0000,0.0000,0.0000,0.0573,0.3146,-0.5065,0.0001,0.0001
